amzeri	amzeri
arspered	berrentez
taraser	taraser
bankerien	bankerbankour
aetdigadao	digadao
Hollvestroni	hollvestroni
Dispounta	dispontidisponta
astrimp	astrimp
potour	potour
kaolbrokoli	kaolbrokoli
ruzvelen	ruzvelen
gouelst	gouelstae
kinteennan	kinte
vareaj	mareaj
avaloupechez	avalpechez
luduc'hoalen	luduholen
dreistgor	govor
taoliata	taoliata
poezahagaspoeza	aspoueza
eurhorndero	kornderv
Koutia	koutia
erhatat	ervataat
lentidigez	lentidigezh
Dijenoc'h	dijen
eurc'hac'hmouden	moudenn
Polonia	Polonia
Reveulzi	reveulzi
izelved	izelved
divrud	divrud
korbigenn	korbigenn
laviga	lavigalavigat
didou	didou
kasade	kasade
broenneg	broeneg
amzer	amzer
ou	bloukard
gwidal	gwidal
Glanyezhourien	glanyezhour
arGloria	gloria
staldiegezh	staldiegezh
ied	sablienn
baskein	baskein
Nondedyah	nondediac'h
bonjouri	bojouri
dinanet	dinaonet
marc'hnaer	marc'haer
boulltenn	boultenn
ergordennad	kordennad
argarvanlien	karvanlien
falzkreden	falskredenn
hwiledSantYann	c'hwilsantYann
vag	mag
affuret	afuret
bouedhanv	bouedhav
emzikour	emsikour
peurgloza	peurgloza
chao	chav
tadabad	tadabad
Spleda	spleda
paotrarc'hilkrog	kilkrog
tastoni	dastoni
faro	faro
skanbennet	skavbennet
tuda	tuda
erc'hskorn	erc'hskorn
broein	broabroiabroi
bastellen	pastellenn
voret	eoreteoriet
forbanet	forbannet
pourmenet	pourmenpourmeni
lustrugen	lustrugenn
rastelldoull	rastelldoull
en	amzer
agildro	agildro
marvad	moarvat
n'ouzondare	dare
Bonjouri	bojouri
weliena	gweliena
dregreiz	dregreiz
baldol	dol
veri	merameri
golernein	gwalarni
feblentez	feblentez
flepa	flepaflepatflepi
lagout	lagout
ec'houelmiklez	gouelMikaelez
bouederc'h	bouederc'h
Kofostamm	kofstamm
andlter	aoter
chinkgoloen	chikolodenn
flip	flip
diboret	diboreet
fonsier	fosier
erc'hofituriou	kofitur
demnoblanz	damnoblas
hoffblo	koefblev
koc'hbleiz	kaoc'hbleiz
skrignet	skrignet
fubumoui	moui
Soterez	soterezh
